"00048","NJ013","ORANGE         ","OLD PRESB BURYING GRD   "
"00049","FR   ","SOMME          ","SOMME AMERICAN CM       "
"00050","MA025","HYDE PARK      ","FAIRVIEW CM             "
"00051","MA021","STUGHTON       ","EVERGREEN CM            "
"00052","MA017","WOBURN         ","WOODBROOK CM            "
"00053","CT001","GREENWICH      ","PUTNAM CM               "
"00054","NJ035","SOMERVILLE     ","RARITAN CM              "
"00055","NJ021","PRINCETON      ","BAPTIST CHYD            "
"00056","PA101","PHILADELPHIA   ","ST MARYS RCC CM         "
"00057","NJ037","MONTAGUE       ","DUTCH REF CHYD          "
"00058","MA009","HAVERHILL      ","GREENWOOD CM            "
"00059","CT003","WINDSOR        ","WINDSOR                 "
"00060","OH005",,"GREEN LAWN CM           "
"00061","NJ039","SCOTCH PLAINS  ","BAPTIST CHYD            "
"00062","MA009","PEABODY        ","PURITAN LAWN CM         "
"00063","MA025","BOSTON         ","FOREST HILLS CM         "
"00064","CT009","NEW HAVEN      ","EVERGREEN CM            "
"00065","MA005","FREETOWN       ","ASSONET CM              "
"00066","MA017","LITTLETON      ","WESTLAWN CM             "
"00067","CT009","MERIDEN        ","WALNUT GROVE CM         "
"00068","CT001","STRATFORD      ","ST MICHAELS CM          "
"00069","VA650","HAMPTON        ","NATIONAL CM             "
"00070","MA017","LOWELL         ","LOWELL                  "
"00071","MA017","CAMBRIDGE      ","CAMBRIDGE CM            "
"00072","NY119","RYE            ","ST MARYS                "
"00073","CT003","BLOOMFIELD     ","MT ST BENDICT           "
"00074","CNNB ","               ","BURNT CHURCH CM         "
"00075","IN155","POSEY TWP      ","BONNELL FARM CM         "
"00076","NJ041","BELVIDERE      ","NEW CM                  "
"00077","MA009","HAVERHILL      ","HILLDALE CM             "
"00078","NJ019","LEBANON        ","METHODIST CHYD          "
"00079","NJ013","NEWARK         ","FAIRMOUNT CM            "
"01323","FL005","LYNN HAVEN     ","LYNN HAVEN CM           "
"00081","MA001","ORLEANS        ","ORLEANS CM              "
"00082","MA017","WALTHAM        ","CALVARY CM              "
"00083","MA001","KINGSTON       ","EVERGREEN CM            "
"00084","CNNB ","ST STEPHEN     ","ST STEPHEN              "
"00085","MA009","NEWBURYPORT    ","ST MARYS CM             "
"00086","MA017","SOMERVILLE     ","SOMERVILLE CM           "
"00087","NJ039","SPRINGFIELD    ","TOWN CM                 "
"00088","PA101","PHILADELPHIA   ","MACHPELAH CM            "
"00089","OH005","JEROMESVILLE   ","JEROMESVILLE CM         "
"00090","CT003","BRISTOL        ","WEST CM                 "
"00091","CT001","NICHOLS        ","NICHOLS CM              "
"00092","MA021","QUINCY         ","MT WOLLASTON CM         "
"00093","NJ009","TUCKAHOE       ","BAPTIST CHYD            "
"00094","OH059","WINTERSET      ","WINTERSET               "
"00095","NJ039","SPRINGFIELD    ","PRESBY CHYD             "
"00096","IRDUB","DUBLIN         ","ST JOHNS CHURCH         "
"00097","MO095","KANSAS CITY    ","ELMWOOD CM              "
"00963","NJ039",,"HOLY SEPULCHER CM       "
"00099","PA101","PHILADELPHIA   ","FIRST PRESBY CM         "
"00100","CT009","N HAVEN        ","CENTER CM               "
"00101","NY105","LIBERTY        ","LIBERETY CM             "
"00102","NY105","NEVERSINK      ","VELIE CM                "
"00103","PA101","KENSINGTON     ","WESLEYAN CM             "
"00104","IA043","ELKADER        ","ELKADER CM              "
"00105","CT003","ROCKY HILL     ","ROSE HILL MEM           "
"00106","CNNS ","STEWIACKE      ","SOUTH BRANCH CM         "
"00107","NJ041","HACKETTSTOWN   ","HACKETTSTOWN            "
"00108","CT001","STAMFORD       ","WOODLAND CM             "
"00109","MA017","WOBURN         ","CALVARY CM              "
"00110","NJ041","PHILLIPSBURG   ","OLD CM                  "
"00112","NJ041","HARDWICK       ","HARDWICK MTG            "
"00113","MA025","BOSTON         ","FAIRVIEW CM             "
"00114","PA101","PHILADELPHIA   ","ST PETERS RC CH         "
"00115","CT003","HARTFORD       ","SPRING GROVE CM         "
"00116","MA005","DIGHTON        ","CHURCH CM               "
"00117","MA005","N ATTLEBORO    ","MT HOPE CM              "
"00118","CNNB ","BROWNS FLATS   ","BAPT CM/KINGS CO        "
"00119","PA101","PHILADELPHIA   ","PHILANTHROPIC C         "
"00120","NJ029","TOMS RIVER     ","OLD METH EPISC CM       "
"00121","CT009","FAIR HAVEN     ","UNION CM                "
"00122","CT005","E PLYMOUTH     ","ST MATTHEWS CM          "
"00123","CT009","DERBY          ","DERBY                   "
"00124","CT005","BANTAM         ","BANTAM                  "
"00125","NY107","SPENCER        ","EVERGREEN CM            "
"00126","MA025","DORCHESTER     ","ST MARYS CM             "
"00127","CT009","W HAVEN        ","OAK GROVE CM            "
"00128","CT011","NEW LONDON     ","CEDAR GROVE CM          "
"00129","CT005","TORRINGTON     ","CENTER VAULT            "
"00130","OR005","MILWAUKIE      ","MILWAUKIE CM            "
"00131","IA155","AVOCO          ","AVOCO                   "
"00132","CT009","BRANFORD       ","CENTER CM               "
"00133","NY017","OXFORD         ","OXFORD                  "
"00134","MA017","ARLINGTON      ","MT PLEASANT CM          "
"00135","NJ041","JACKSONBURG    ","CEDAR RIDGE CM          "
"00136","MA003","LEE            ","FAIRMONT CM             "
"00137","OH165","TURTLE CREEK TW","LEBANON CM              "
"00138","CT005","THOMASTON      ","HILLSIDE CM             "
"00139","CT   ","WESTVILLE      ","WESTVILLE               "
"00140","OH165","CORWIN         ","MIAMI CM                "
"00141","CT003","BURLINGTON     ","MILFORD ST CM           "
"00142","MA027","LEOMINSTER     ","ST LEOS CM              "
"00143","CT001","FAIRFIELD      ","LAWNCROFT CM            "
"00144","PA089","MIDDLE SMITHFLD","SAND HILL METH          "
"00145","OR029","MEDFORD        ","HILLCREST MEM           "
"00146","PA069","S ABINGTON     ","ABINGTON HILL C         "
"00147","CT005","WINSTED        ","FOREST VIEW CM          "
"00148","PA115","RUSHVILLE      ","STATE ROAD CM           "
"00149","IN091","WANATAH        ","DOOR VILLAGE CM         "
"00150","AR143","RHEAS MILL TWP ","RHEAS MILL METH         "
"00151","CT003","BRISTOL        ","ST JOSEPH'S CM          "
"00152","CT003","NEW BRITAIN    ","PINE GROVE CM           "
"00153","OH165","UNION TWP      ","DEERFIELD CM            "
"00154","NY013","JAMESTOWN      ","TOWN CENTER CM          "
"00155","PA089","STROUD         ","STROUD CM               "
"00156","UT049","PLEASANT GROVE ","PLEASANT GROVE          "
"00157","NJ037","WALPACK CENTER ","LOWER WALPACK CM        "
"00158","OH165","CLEARCREEK TWP ","SPRIGBORO CM            "
"00159","CT001","STRATFORD      ","STRATFORD               "
"00160","NY003","ALMOND         ","WOODLAWN CM             "
"00161","PA115","BROOKLYN TWP   ","BROOKLYN UNIVERSALIST CM"
"00162","CT001","STRATFORD      ","UNION CM                "
"00163","NJ041","BLAIRSTOWN     ","J I BLAIR CM            "
"00164","CT005","NORFOLK        ","CENTER CM               "
"00166","CT005","WATERTOWN      ","EVERGREEN CM            "
"00167","PA115","NEW MILFORD    ","SMALL CM                "
"00168","CT001","FAIRFIELD      ","OAKLAWN CM              "
"00169","NJ025","RED VALLEY     ","YELLOW MTG CHYD         "
"01324","CNONT","S DUMFRIES/BRAN","PARIS PLAINS CH CM      "
"00171","MA009","GLOUCESTER     ","LANGSFORD ST CM         "
"01714","WI027","LOWELL         ","LOWELL CM               "
"00173","CT003","FORESTVILLE    ","EAST CM                 "
"00174","WI039","FOND DU LAC    ","ST CHARLES CM           "
"00175","CT009","WATERBURY      ","PINE GROVE CM           "
"00176","MA017","CAMBRIDGE      ","MT AUBURN CM            "
"00177","OH085","PAINESVILLE    ","EVERGREEN CM            "
"00178","PA089","SHAWNEE        ","PRESBY CHYD             "
"00179","IN115","RISING SUN     ","NEWER RISING SU         "
"00180","CT009","N BRANFORD     ","N BRANFORD CM           "
"00181","OH007","JEFFERSON      ","OAKDALE CM              "
"00182","CA037","INGLEWOOD      ","INGLEWOOD PARK          "
"00183","OH007","AUSTINBURG     ","AUSTINBURG CM           "
"00184","CT003","E HARTFORD     ","HOCKANUM CM             "
"00185","MI021","BENTON HARBOR  ","CRYSTAL SPRINGS         "
