"001125","350668",19931216
"001126","370226",19931216
"001127","370227",19931216
"001131","331473",19931205
"001152","340773",19920214
"001153","340774",19920214
"001154","320023",19920214
"001159","300013",19940418
"001166","350408",19920214
"001167","350409",19920214
"001194","351196",19930413
"001208","350294",19920214
"001209","350207",19920214
"001217","340513",19920214
"001220","341090",19920324
"006432","013839",19951022
"018357","019191",19960311
"004537","331042",19970414
"027294","361202",19970506
"000005","351318",19980225
"001227","013830",19930413
"001228","341166",19930211
"001233","350527",19920324
"001240","310287",19921210
"001245","351622",19920214
"001248","350406",19920214
"001256","340389",19920214
"001257","370089",19920214
"001270","012179",19920309
"001273","340792",19920214
"001274","330640",19920214
"001278","360255",19920214
"001279","360258",19920214
"001303","360259",19920214
"001304","370107",19920214
"001305","370108",19920214
"001306","370180",19920214
"001308","370109",19920214
"001313","370111",19920214
"001317","370072",19920214
"001321","340702",19920214
"001322","350397",19920214
"001324","360553",19950304
"001325","340609",19920214
"001331","340333",19920214
"001340","320265",19950419
"001345","351752",19930131
"001347","340160",19920214
"001348","010632",19930301
"001352","320027",19920214
"001359","350525",19920324
"001360","350526",19920324
"001366","008644",19911207
"001367","360355",19921113
"001388","006497",19911215
"001402","340793",19920214
"001413","330119",19920214
"001416","006086",19930131
"001420","001430",19940508
"001434","361091",19950319
"001448","320073",19920214
"001454","330473",19920214
"001456","350399",19920214
"001466","360241",19920214
"001480","300087",19921118
"001499","330787",19920413
"001504","360242",19920214
"001537","370191",19931104
"001542","370121",19950307
"001545","351734",19911130
"001546","351735",19911130
"001550","330151",19920214
"001551","340420",19920214
"001564","330118",19920214
"001566","370121",19950307
"001569","350231",19920214
"001578","006652",19940310
"001598","330083",19920429
"001603","330633",19920214
"001607","350438",19920214
"001608","350441",19920214
"001619","350455",19920214
"001623","340870",19920214
"001624","320034",19920214
"001631","350278",19920214
"001633","350265",19920214
"001634","350269",19920214
"001641","350270",19920214
"001642","018029",19940105
"001648","340869",19920214
"001675","350398",19920214
"001679","361088",19950311
"001682","370591",19950319
"001697","350148",19920214
"001698","350149",19920214
"001730","341766",19931205
"001742","300063",19940508
"028024","331136",19970504
"001752","330129",19920214
"001760","008042",19930225
"001776","330117",19920214
"001779","360296",19920221
"001784","340877",19920214
"001785","320070",19920214
"001791","320015",19920214
"001792","330066",19920214
"001793","320171",19940508
"001795","330076",19920214
"001798","330078",19920214
"001799","330081",19920214
"001800","007066",19931109
"001802","DELETE",19931109
"001818","000431",19920428
"001820","350257",19920214
"001828","350726",19940303
"001829","360679",19940303
"001832","330123",19920214
"001833","341412",19950319
"001835","310056",19920214
"001840","351827",19931108
"001843","310377",19920214
"001847","340885",19920214
"001856","008633",19940201
"001858","350464",19920214
"001864","370235",19940303
"001865","360682",19940303
"001902","370103",19920214
"001903","330057",19920214
"001906","008545",19931103
"001908","360283",19920214
"001955","350457",19920214
"001982","005239",19911123
"002003","350159",19920214
"002004","360180",19920214
"002005","001679",19940510
"002021","330564",19920214
"002030","310416",19940507
"002054","340653",19920214
"002056","341410",19950319
"002058","340895",19920214
"002069","360361",19921113
"002082","341407",19950319
"002086","341421",19950319
"002144","330863",19921113
"002145","320224",19921113
"002146","341203",19921113
"002147","350576",19921113
"002148","341221",19921113
"002149","341222",19921113
"002159","330908",19921201
"002160","341291",19921201
"002163","341296",19921201
"002169","341264",19921201
"002170","350589",19921201
"002189","331121",19940103
"002190","341993",19940103
"002191","341992",19940103
"002205","340123",19920213
"002206","330016",19920213
"002211","320373",19920402
"002212","330791",19920411
"002213","330792",19920411
"002214","330806",19920411
"002215","330809",19920411
"002216","330810",19920411
"002217","330833",19920411
"002234","330908",19921201
"002235","341276",19921201
"002235","341276",19921201
"002236","341286",19921201
"002237","341290",19921201
"002243","340390",19920214
"002245","360175",19920213
"002246","350083",19920213
"002247","370021",19920213
"002248","370025",19920213
"002249","370026",19920213
"002258","360356",19921113
"002259","330867",19921113
"002260","330862",19921113
"002293","341267",19911113
"002322","361056",19911211
"002328","341100",19950321
"002340","340835",19911130
"002341","331636",19911130
"002342","005465",19931104
"002355","000295",19930310
"002369","341097",19920324
"002371","310375",19920214
"002376","008627",19950409
"002396","342041",19940306
"002400","320965",19940418
"002484","003899",19931108
"002491","330864",19921113
"002492","330887",19921113
"002503","000394",19940115
"002516","330023",19920213
"002517","320006",19920213
"002521","002279",19931104
"002528","310350",19950418
"002529","002530",19931104
"002545","320789",19920312
"002601","340125",19920213
"002602","340141",19920213
"002629","350387",19920214
"002635","007617",19950403
"002637","341129",19920325
"002638","330723",19920325
"002662","361079",19950308
"002663","370568",19950308
"002664","330012",19920213
"002665","330013",19920213
"002666","330022",19920213
"002667","330024",19920213
"002690","340608",19920214
"002691","330412",19920214
"002694","330011",19920206
"002702","007617",19950403
"002711","341080",19921113
"002712","330865",19921113
"002755","330894",19921113
"002767","000239",19931104
"002768","002324",19931104
"002773","350588",19921201
"002774","350587",19921201
"002819","320964",19940418
"002845","330053",19920213
"002846","341125",19920325
"002863","350730",19940305
"002865","350084",19920213
"002872","361061",19940418
"002973","300197",19940418
"002974","300197",19940418
"002999","017291",19931118
"003016","016515",19931106
"003028","330696",19920324
"003029","341059",19920324
"003065","340183",19920214
"003066","341684",19920214
"003077","016467",19931106
"003104","017210",19931106
"003114","330440",19920214
"003115","330436",19920214
"003130","340527",19920214
"003131","340603",19920214
"003154","342101",19940111
"003187","350578",19921113
"003200","350782",19940407
"003207","360179",19920213
"003238","330893",19921113
"003247","330789",19920214
"003295","330859",19921113
"003300","DELETE",19920106
"003318","350531",19920411
"003319","341030",19920411
"003389","360252",19920214
"003403","014542",19950410
"003418","350418",19920214
"003459","014990",19931106
"003469","003470",19940429
"003478","350699",19931103
"003491","350206",19920214
"003499","331698",19911129
"003514","350220",19920214
"003518","012903",19921123
"003562","003560",19921110
"003575","341159",19921113
"003584","330391",19920214
"003588","330405",19920214
"003592","340161",19920214
"003594","350104",19920214
"003609","340241",19920214
"003627","330411",19920214
"003651","330992",19940507
"003676","340520",19920214
"003677","340178",19920214
"003767","350483",19920214
"003773","340237",19920214
"003774","320616",19920214
"003783","370104",19920221
"003784","350484",19920214
"003789","330657",19920214
"003791","341096",19920324
"003792","350485",19920214
"003793","340145",19920214
"003794","320014",19920214
"003801","350381",19920214
"003810","320280",19920214
"003813","340173",19940510
"003817","331259",19940103
"003830","330068",19920214
"003831","340199",19920214
"003897","350236",19920214
"003898","350246",19920214
"003936","360411",19920107
"003937","370182",19920107
"003938","370183",19920107
"003944","340515",19920217
"003949","351324",19931201
"003955","342133",19930109
"003956","350611",19930109
"003960","350818",19950319
"003961","350551",19921113
"003966","350586",19921201
"003971","008230",19931104
"003982","340518",19920214
"003983","350612",19930109
"003987","341160",19921113
"003988","360804",19940409
"003989","350660",19940409
"004000","340519",19920214
"004022","341172",19921113
"004025","320072",19920214
"004035","330050",19920214
"004037","340182",19920214
"004040","340253",19920214
"004069","003795",19930109
"004070","340246",19920214
"004072","340247",19920214
"004103","350591",19921201
"004108","310308",19921113
"004121","340204",19920214
"004126","310039",19920214
"004127","340181",19920214
"004133","310116",19940418
"004149","340209",19920214
"004157","004163",19911112
"004179","350078",19920213
"004183","350550",19921113
"004190","350585",19921201
"004206","341170",19921113
"004207","350613",19930109
"004235","006886",19940322
"004259","340157",19920214
"004260","340242",19920214
"004261","330045",19920214
"004263","330059",19920214
"004264","330060",19920214
"004269","350138",19920214
"004283","320528",19920214
"004292","341095",19920324
"004293","330450",19920214
"004294","330470",19920214
"004295","330471",19920214
"004296","330472",19920214
"004299","351146",19930107
"004309","340260",19920214
"004319","341393",19911111
"004320","350482",19920214
"004329","330652",19920214
"004330","330654",19920214
"004344","341020",19950328
"004347","350155",19950328
"004348","360237",19920214
"004352","350553",19921113
"004384","003659",19921229
"004448","350158",19920214
"004483","007272",19911121
"004512","004826",19940226
"004528","350554",19921113
"004593","320275",19920214
"004594","330673",19920214
"004595","330691",19920214
"004596","330092",19920214
"004597","330093",19920214
"004598","330094",19920214
"004599","330099",19920214
"004649","341085",19920324
"004650","330773",19920324
"004666","320210",19921113
"004682","006946",19920417
"004695","320032",19920214
"004696","330304",19920214
"004697","330305",19920214
